HBA_SMILES,HBD_SMILES,Other_SMILES,ratio_HBA_to_HBD,ratio_Other_to_HBD,property_value,property_type,property_unity,Temperature_C
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0714,density,g/cc,33.5
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0703,density,g/cc,35.1
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0676,density,g/cc,38.2
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0644,density,g/cc,43.5
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,3.59,electrochemical_window,V,27.1
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,25.77,viscosity,cp,10
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,20.6,viscosity,cp,15
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,8.03,viscosity,cp,35
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,6,viscosity,cp,40
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,0.076,conductivity,mS/cm,-32.6
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,0.124,conductivity,mS/cm,-22.9
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,0.161,conductivity,mS/cm,-16.9
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,0.159,conductivity,mS/cm,-16.7
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,0.477,conductivity,mS/cm,3.9
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,0.485,conductivity,mS/cm,4.2
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,0.497,conductivity,mS/cm,4.3
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.153,conductivity,mS/cm,26.2
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.798,conductivity,mS/cm,40.2
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,2.272,conductivity,mS/cm,50.1
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,2.286,conductivity,mS/cm,50.3
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,2.312,conductivity,mS/cm,50.5
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0692,density,g/cc,28.2
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0608,density,g/cc,40.8
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0618,density,g/cc,39.4
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0765,density,g/cc,14.1
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0791,density,g/cc,9.3
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0827,density,g/cc,27.9
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0827,density,g/cc,28.5
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0803,density,g/cc,31.3
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0781,density,g/cc,33.5
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0759,density,g/cc,36
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0739,density,g/cc,39
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0724,density,g/cc,40.9
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0687,density,g/cc,45.4
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,36,viscosity,cp,5
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,28.5,viscosity,cp,10
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,23.3,viscosity,cp,15
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,15.8,viscosity,cp,25
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,8.5,viscosity,cp,35
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,5.87,viscosity,cp,40
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,0.7,conductivity,mS/cm,-36.7
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,2.41,conductivity,mS/cm,-20
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,6.5,conductivity,mS/cm,-1.3
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,19.15,conductivity,mS/cm,29
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,26.38,conductivity,mS/cm,40.5
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,37.43,conductivity,mS/cm,57.7
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,38.54,conductivity,mS/cm,58.5
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,39.56,conductivity,mS/cm,59.7
C[NH+](C)C.[Cl-],C(CO)O,O,0.04,0.03,3.48,electrochemical_window,V,27.6
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,1.0056,density,g/cc,16
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,1.0044,density,g/cc,20.5
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,1.001,density,g/cc,30.4
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,0.9993,density,g/cc,31.8
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,0.9929,density,g/cc,37.8
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,0.985,density,g/cc,44
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,4.94,conductivity,mS/cm,-28.6
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,6.725,conductivity,mS/cm,-20.3
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,11.656,conductivity,mS/cm,-9.3
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,14.795,conductivity,mS/cm,-0.9
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,27.027,conductivity,mS/cm,29.7
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,31.532,conductivity,mS/cm,40.5
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,40.68,conductivity,mS/cm,60.6
C[NH+](C)C.[Cl-],CNC=O,O,0.05,0.03,3.25,electrochemical_window,V,28
