HBA_SMILES,HBD_SMILES,ratio,property_value,property_type,property_unity,method,functional,basis,forcefield
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,28,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,0.125,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,1.245,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,2.392,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,3.572,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,3.692,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,3.762,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,5.823,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,6.041,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,6.2,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,0.5,4.25,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,627.2,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,431,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,307.3,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,166.1,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,58.4,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,34.7,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,21.2,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,0.165,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,1.155,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,2.215,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,2.286,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,2.323,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
