HBA_SMILES,HBD_SMILES,ratio,property_value,property_type,property_unity,method,functional,basis,forcefield
C[NH3+].[Cl-],C(CO)O,0.25,27.728,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,34.571,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,3.21,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,1.0277,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,1.0242,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,1.0155,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,1.0141,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,1.0124,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,1.0098,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,1.0089,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,1.0053,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,1.0011,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,6.74,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,10.05,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,13.51,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,25.31,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,25.29,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,36.46,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],CNC=O,0.125,3.21,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,37.1,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,35.73,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,28.63,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,20.63,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,14.47,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,5.67,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,1.675,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,2.557,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,2.648,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,4.138,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,6.579,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,6.646,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,6.668,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,6.685,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,12.138,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,17.839,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,18.002,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,18.096,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,22.016,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,29.763,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,29.944,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,30.138,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,1.0813,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,1.0802,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,1.079,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,1.0756,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,1.0714,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,1.0703,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,1.0676,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,1.0644,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.333333333,3.59,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,25.77,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,20.6,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,8.03,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,6,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,0.076,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,0.124,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,0.161,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,0.159,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,0.477,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,0.485,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,0.497,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,1.153,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,1.798,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,2.272,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,2.286,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,2.312,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,1.0692,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,1.0608,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,1.0618,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,1.0765,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[N+](C)(C)C.[Cl-],C(CO)O,0.25,1.0791,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,1.0827,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,1.0827,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,1.0803,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,1.0781,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,1.0759,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,1.0739,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,1.0724,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,1.0687,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,36,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,28.5,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,23.3,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,15.8,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,8.5,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,5.87,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,0.7,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,2.41,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,6.5,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,19.15,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,26.38,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,37.43,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,38.54,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,39.56,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],C(CO)O,0.25,3.48,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,1.0056,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,1.0044,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,1.001,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,0.9993,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,0.9929,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,0.985,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,4.94,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,6.725,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,11.656,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,14.795,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,27.027,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,31.532,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,40.68,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH+](C)C.[Cl-],CNC=O,0.125,3.25,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
